Project,Issue_id,Comment id,Jira URL,Label,Theme (Code),Theme (Coder 2),Theme (Coder 3)
YARN,YARN-5601,15457034,https://issues.apache.org/jira/browse/YARN-5601,1,Unknown,Unknown,Unknown
YARN,YARN-5932,15715117,https://issues.apache.org/jira/browse/YARN-5932,1,Unknown,Unknown,Unknown
YARN,YARN-6011,15816442,https://issues.apache.org/jira/browse/YARN-6011,1,Unknown,Unknown,Unknown
YARN,YARN-6428,16077785,https://issues.apache.org/jira/browse/YARN-6428,1,Unknown,Unknown,Unknown
YARN,YARN-7221,16433080,https://issues.apache.org/jira/browse/YARN-7221,1,Unknown,Unknown,Unknown
YARN,YARN-9923,16992497,https://issues.apache.org/jira/browse/YARN-9923,1,Unknown,Unknown,Unknown
HADOOP,HADOOP-12350,14944057,https://issues.apache.org/jira/browse/HADOOP-12350,1,External Interference,External Interference,External Interference
HADOOP,HADOOP-2420,12556274,https://issues.apache.org/jira/browse/HADOOP-2420,1,External Interference,External Interference,External Interference
HADOOP,HADOOP-3581,12626140,https://issues.apache.org/jira/browse/HADOOP-3581,1,External Interference,External Interference,External Interference
HADOOP,HADOOP-4029,12651719,https://issues.apache.org/jira/browse/HADOOP-4029,1,External Interference,External Interference,External Interference
HADOOP,HADOOP-6857,14182394,https://issues.apache.org/jira/browse/HADOOP-6857,1,External Interference,External Interference,External Interference
HADOOP,HADOOP-7824,14649761,https://issues.apache.org/jira/browse/HADOOP-7824,1,External Interference,External Interference,External Interference
HBASE,HBASE-10161,13853990,https://issues.apache.org/jira/browse/HBASE-10161,1,External Interference,External Interference,External Interference
HBASE,HBASE-11991,14137474,https://issues.apache.org/jira/browse/HBASE-11991,1,External Interference,External Interference,External Interference
HBASE,HBASE-15219,15145929,https://issues.apache.org/jira/browse/HBASE-15219,1,External Interference,External Interference,Configuration-related Issues
HBASE,HBASE-6002,13283688,https://issues.apache.org/jira/browse/HBASE-6002,1,External Interference,External Interference,External Interference
HBASE,HBASE-8355,13633286,https://issues.apache.org/jira/browse/HBASE-8355,1,External Interference,External Interference,Unrelated Tests
HBASE,HBASE-9531,14080450,https://issues.apache.org/jira/browse/HBASE-9531,1,External Interference,External Interference,External Interference
HDDS,HDDS-937,16725438,https://issues.apache.org/jira/browse/HDDS-937,1,External Interference,External Interference,External Interference
HDDS,HDDS-964,16734597,https://issues.apache.org/jira/browse/HDDS-964,1,External Interference,Concurrent Commits,External Interference
HDFS,HDFS-10756,15602521,https://issues.apache.org/jira/browse/HDFS-10756,1,External Interference,Concurrent Commits,External Interference
HDFS,HDFS-14955,16973301,https://issues.apache.org/jira/browse/HDFS-14955,1,External Interference,External Interference,External Interference
HDFS,HDFS-1596,13007230,https://issues.apache.org/jira/browse/HDFS-1596,1,External Interference,External Interference,External Interference
HDFS,HDFS-1855,13022876,https://issues.apache.org/jira/browse/HDFS-1855,1,External Interference,External Interference,External Interference
HDFS,HDFS-2018,13097117,https://issues.apache.org/jira/browse/HDFS-2018,1,External Interference,External Interference,External Interference
HDFS,HDFS-2131,13060691,https://issues.apache.org/jira/browse/HDFS-2131,1,External Interference,Environment Impact,Configuration-related Issues
HDFS,HDFS-3582,13408554,https://issues.apache.org/jira/browse/HDFS-3582,1,External Interference,External Interference,External Interference
HDFS,HDFS-3830,13439165,https://issues.apache.org/jira/browse/HDFS-3830,1,External Interference,External Interference,External Interference
HDFS,HDFS-3934,13646828,https://issues.apache.org/jira/browse/HDFS-3934,1,External Interference,Unrelated Tests,External Interference
HDFS,HDFS-46,13108771,https://issues.apache.org/jira/browse/HDFS-46,1,External Interference,Concurrent Commits,External Interference
HDFS,HDFS-5809,14014399,https://issues.apache.org/jira/browse/HDFS-5809,1,External Interference,External Interference,External Interference
HDFS,HDFS-6047,13920003,https://issues.apache.org/jira/browse/HDFS-6047,1,External Interference,Configuration-related Issues,External Interference
HDFS,HDFS-7090,14167961,https://issues.apache.org/jira/browse/HDFS-7090,1,External Interference,Unknown,External Interference
HDFS,HDFS-7404,14215565,https://issues.apache.org/jira/browse/HDFS-7404,1,External Interference,Environment Impact,External Interference
HDFS,HDFS-8220,14653356,https://issues.apache.org/jira/browse/HDFS-8220,1,External Interference,Environment Impact,External Interference
HDFS,HDFS-8399,14543659,https://issues.apache.org/jira/browse/HDFS-8399,1,External Interference,External Interference,External Interference
HDFS,HDFS-8581,14729203,https://issues.apache.org/jira/browse/HDFS-8581,1,External Interference,Configuration-related Issues,External Interference
HDFS,HDFS-8687,14605760,https://issues.apache.org/jira/browse/HDFS-8687,1,External Interference,External Interference,External Interference
HDFS,HDFS-94,12793781,https://issues.apache.org/jira/browse/HDFS-94,1,External Interference,External Interference,External Interference
HIVE,HIVE-11775,15065280,https://issues.apache.org/jira/browse/HIVE-11775,1,External Interference,Configuration-related Issues,External Interference
HIVE,HIVE-12446,15113559,https://issues.apache.org/jira/browse/HIVE-12446,1,External Interference,External Interference,External Interference
HIVE,HIVE-14721,15564485,https://issues.apache.org/jira/browse/HIVE-14721,1,External Interference,External Interference,External Interference
HIVE,HIVE-15060,15617281,https://issues.apache.org/jira/browse/HIVE-15060,1,External Interference,Concurrent Commits,External Interference
HIVE,HIVE-7682,14118790,https://issues.apache.org/jira/browse/HIVE-7682,1,External Interference,External Interference,External Interference
HIVE,HIVE-8341,14172265,https://issues.apache.org/jira/browse/HIVE-8341,1,External Interference,External Interference,External Interference
HIVE,HIVE-9249,14263836,https://issues.apache.org/jira/browse/HIVE-9249,1,External Interference,Environment Impact,External Interference
HIVE,HIVE-9255,14277559,https://issues.apache.org/jira/browse/HIVE-9255,1,External Interference,External Interference,Concurrent Commits
HIVE,HIVE-9917,14395623,https://issues.apache.org/jira/browse/HIVE-9917,1,External Interference,External Interference,External Interference
YARN,YARN-10083,17015830,https://issues.apache.org/jira/browse/YARN-10083,1,External Interference,External Interference,External Interference
YARN,YARN-1850,13940261,https://issues.apache.org/jira/browse/YARN-1850,1,External Interference,External Interference,Non-reproducible
YARN,YARN-1915,14162076,https://issues.apache.org/jira/browse/YARN-1915,1,External Interference,External Interference,External Interference
