dropout,f1,recall,model,iteration
4,0.6666666666666666,0.5,RandomForest,3
4,1.0,1.0,PULearning,8
4,0.6666666666666666,0.5,RandomForest,0
4,1.0,1.0,PULearning,9
4,0.4,0.25,RandomForest,1
4,0.8571428571428571,0.75,PULearning,10
4,0.6666666666666666,0.5,RandomForest,1
4,0.8571428571428571,0.75,PULearning,11
4,0.6666666666666666,0.5,RandomForest,1
4,1.0,1.0,PULearning,12
4,0.6666666666666666,0.5,RandomForest,0
4,1.0,1.0,PULearning,13
4,0.6666666666666666,0.5,RandomForest,0
4,1.0,1.0,PULearning,14
4,0.0,0.0,RandomForest,1
4,1.0,1.0,PULearning,15
4,0.4,0.25,RandomForest,1
4,1.0,1.0,PULearning,16
4,0.6666666666666666,0.5,RandomForest,1
4,0.8571428571428571,0.75,PULearning,17
4,0.6666666666666666,0.5,RandomForest,1
4,1.0,1.0,PULearning,18
4,0.6666666666666666,0.5,RandomForest,0
4,0.8571428571428571,0.75,PULearning,19
4,0.6666666666666666,0.5,RandomForest,1
4,1.0,1.0,PULearning,20
4,0.6666666666666666,0.5,RandomForest,1
4,1.0,1.0,PULearning,21
4,0.4,0.25,RandomForest,0
4,1.0,1.0,PULearning,22
4,0.6666666666666666,0.5,RandomForest,0
4,1.0,1.0,PULearning,23
4,0.6666666666666666,0.5,RandomForest,0
4,1.0,1.0,PULearning,24
4,0.6666666666666666,0.5,RandomForest,0
4,1.0,1.0,PULearning,25
4,0.6666666666666666,0.5,RandomForest,5
4,1.0,1.0,PULearning,26
4,0.6666666666666666,0.5,RandomForest,3
4,0.8571428571428571,0.75,PULearning,27
4,0.6666666666666666,0.5,RandomForest,0
4,1.0,1.0,PULearning,28
4,0.6666666666666666,0.5,RandomForest,0
4,1.0,1.0,PULearning,29
4,0.6666666666666666,0.5,RandomForest,1
4,0.8571428571428571,0.75,PULearning,30
4,0.6666666666666666,0.5,RandomForest,0
4,1.0,1.0,PULearning,31
4,0.6666666666666666,0.5,RandomForest,0
4,1.0,1.0,PULearning,32
4,0.6666666666666666,0.5,RandomForest,0
4,1.0,1.0,PULearning,33
4,0.6666666666666666,0.5,RandomForest,1
4,1.0,1.0,PULearning,34
4,0.4,0.25,RandomForest,1
4,0.8571428571428571,0.75,PULearning,35
4,0.4,0.25,RandomForest,0
4,0.8571428571428571,0.75,PULearning,36
4,0.4,0.25,RandomForest,0
4,1.0,1.0,PULearning,37
4,0.6666666666666666,0.5,RandomForest,1
4,0.8571428571428571,0.75,PULearning,38
4,0.6666666666666666,0.5,RandomForest,0
4,1.0,1.0,PULearning,39
4,0.4,0.25,RandomForest,0
4,0.8571428571428571,0.75,PULearning,40
4,0.6666666666666666,0.5,RandomForest,0
4,1.0,1.0,PULearning,41
4,0.6666666666666666,0.5,RandomForest,0
