pr_number,pr_url,build_id,build_name,build_url,commit_sha,build_started_at,build_completed_at,pr_created_at,pr_author,has_unrelated_discussion,num_associated_comments,num_parallel_issues,num_prior_comments,ci_latency_days,has_code_patch,is_shared_same_emsg,num_similar_failures,has_config_files,config_files_count,config_lines_added,config_lines_deleted,config_lines_modified,has_source_code,source_code_files_count,source_code_lines_added,source_code_lines_deleted,source_code_lines_modified
44384,https://github.com/keycloak/keycloak/pull/44384,56195994874,label,https://github.com/keycloak/keycloak/actions/runs/19626398043/job/56195994874,03cd6b7cef66b03188010ef3198a62420421cfb8,2025-11-24T07:18:38Z,2025-11-24T07:18:44Z,2025-11-21T13:03:49Z,vaceksimon,False,0,9,0,2.760289351851852,False,False,0,False,0,0,0,0,True,2,4,2,6
44384,https://github.com/keycloak/keycloak/pull/44384,56195912979,"Java Distribution IT/UT (windows-latest, temurin, 17)",https://github.com/keycloak/keycloak/actions/runs/19571365376/job/56195912979,03cd6b7cef66b03188010ef3198a62420421cfb8,2025-11-24T07:17:14Z,2025-11-24T07:17:37Z,2025-11-21T13:03:49Z,vaceksimon,False,0,9,0,2.7593171296296295,False,False,0,False,0,0,0,0,True,2,4,2,6
44384,https://github.com/keycloak/keycloak/pull/44384,56195935478,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/19571365376/job/56195935478,03cd6b7cef66b03188010ef3198a62420421cfb8,2025-11-24T07:17:39Z,2025-11-24T07:17:45Z,2025-11-21T13:03:49Z,vaceksimon,False,0,9,0,2.7596064814814816,False,False,0,False,0,0,0,0,True,2,4,2,6
44982,https://github.com/keycloak/keycloak/pull/44982,58387651611,Account UI,https://github.com/keycloak/keycloak/actions/runs/20324805514/job/58387651611,29d28bb5650281b7a95cd829cbf957f685034ba8,2025-12-18T03:15:16Z,2025-12-18T03:16:01Z,2025-12-18T03:14:59Z,dependabot[bot],False,0,22,0,0.00019675925925925926,False,False,0,True,9,1108,1446,2554,False,0,0,0,0
44982,https://github.com/keycloak/keycloak/pull/44982,58387651623,Admin UI,https://github.com/keycloak/keycloak/actions/runs/20324805514/job/58387651623,29d28bb5650281b7a95cd829cbf957f685034ba8,2025-12-18T03:15:16Z,2025-12-18T03:16:54Z,2025-12-18T03:14:59Z,dependabot[bot],False,0,22,0,0.00019675925925925926,False,False,0,True,9,1108,1446,2554,False,0,0,0,0
44982,https://github.com/keycloak/keycloak/pull/44982,58387651625,UI Shared,https://github.com/keycloak/keycloak/actions/runs/20324805514/job/58387651625,29d28bb5650281b7a95cd829cbf957f685034ba8,2025-12-18T03:15:17Z,2025-12-18T03:16:00Z,2025-12-18T03:14:59Z,dependabot[bot],False,0,22,0,0.00020833333333333335,False,False,0,True,9,1108,1446,2554,False,0,0,0,0
44982,https://github.com/keycloak/keycloak/pull/44982,58389022355,Status Check - Keycloak JavaScript CI,https://github.com/keycloak/keycloak/actions/runs/20324805514/job/58389022355,29d28bb5650281b7a95cd829cbf957f685034ba8,2025-12-18T03:39:16Z,2025-12-18T03:39:23Z,2025-12-18T03:14:59Z,dependabot[bot],False,0,22,0,0.016863425925925928,False,False,0,True,9,1108,1446,2554,False,0,0,0,0
44825,https://github.com/keycloak/keycloak/pull/44825,57740045356,Build,https://github.com/keycloak/keycloak/actions/runs/20120709892/job/57740045356,8909d3578f429011bef6bb2c5a47678231933dab,2025-12-11T03:14:17Z,2025-12-11T03:19:01Z,2025-12-11T03:14:00Z,dependabot[bot],False,1,21,0,0.00019675925925925926,False,False,0,True,9,875,1206,2081,False,0,0,0,0
44825,https://github.com/keycloak/keycloak/pull/44825,57740310641,Status Check - Keycloak CI,https://github.com/keycloak/keycloak/actions/runs/20120709892/job/57740310641,8909d3578f429011bef6bb2c5a47678231933dab,2025-12-11T03:19:04Z,2025-12-11T03:19:10Z,2025-12-11T03:14:00Z,dependabot[bot],False,1,21,0,0.0035185185185185185,False,False,0,True,9,875,1206,2081,False,0,0,0,0
44825,https://github.com/keycloak/keycloak/pull/44825,57740047224,Account UI,https://github.com/keycloak/keycloak/actions/runs/20120709887/job/57740047224,8909d3578f429011bef6bb2c5a47678231933dab,2025-12-11T03:14:20Z,2025-12-11T03:15:03Z,2025-12-11T03:14:00Z,dependabot[bot],False,1,21,0,0.0002314814814814815,False,False,0,True,9,875,1206,2081,False,0,0,0,0
